Time,State,Emotion,Yaw,Pitch,Roll
40.40s,Not Attentive,neutral,16,7,2
40.56s,Attentive,neutral,-11,-1,4
40.66s,Attentive,neutral,-22,8,2
40.77s,Attentive,neutral,-20,9,2
40.88s,Attentive,neutral,-19,7,4
40.99s,Attentive,sad,-20,8,4
41.09s,Attentive,neutral,-18,9,3
41.20s,Attentive,neutral,-21,8,3
41.30s,Attentive,neutral,-18,9,3
41.47s,Attentive,neutral,-16,7,4
41.58s,Attentive,neutral,-18,7,4
41.68s,Attentive,happy,-18,8,3
41.79s,Attentive,neutral,-18,10,3
41.90s,Attentive,neutral,-23,8,3
42.00s,Attentive,happy,-20,9,3
42.11s,Attentive,neutral,-21,8,3
42.21s,Attentive,happy,-15,6,4
42.32s,Attentive,neutral,-18,5,3
42.43s,Attentive,happy,-16,4,4
42.53s,Attentive,happy,-17,5,4
42.63s,Attentive,happy,-15,5,5
42.75s,Attentive,happy,-18,5,4
42.85s,Attentive,happy,-18,7,3
42.95s,Not Attentive,happy,-20,5,5
43.06s,Attentive,happy,-25,4,1
43.17s,Not Attentive,happy,-35,4,0
43.22s,Not Attentive,happy,-35,4,0
43.26s,Not Attentive,happy,-35,4,0
43.31s,Not Attentive,happy,-35,4,0
43.36s,Not Attentive,happy,-35,4,0
43.41s,Not Attentive,happy,-35,4,0
43.46s,Not Attentive,happy,-35,4,0
43.51s,Not Attentive,happy,-35,4,0
43.56s,Not Attentive,happy,-35,4,0
43.61s,Not Attentive,happy,-35,4,0
43.65s,Not Attentive,happy,-35,4,0
43.70s,Not Attentive,happy,-35,4,0
43.76s,Not Attentive,happy,-35,4,0
43.81s,Not Attentive,happy,-35,4,0
43.85s,Not Attentive,happy,-35,4,0
43.90s,Not Attentive,happy,-35,4,0
43.95s,Not Attentive,happy,-35,4,0
44.00s,Not Attentive,happy,-35,4,0
44.05s,Not Attentive,happy,-35,4,0
44.10s,Not Attentive,happy,-35,4,0
44.15s,Not Attentive,happy,-35,4,0
44.20s,Not Attentive,happy,-35,4,0
44.24s,Not Attentive,happy,-35,4,0
44.30s,Not Attentive,happy,-35,4,0
44.35s,Not Attentive,happy,-35,4,0
44.41s,Not Attentive,happy,-35,4,0
44.51s,Not Attentive,happy,-36,7,-3
44.62s,Not Attentive,happy,-32,4,-2
44.73s,Not Attentive,happy,-27,3,0
44.84s,Not Attentive,happy,-18,3,1
44.94s,Not Attentive,happy,-14,3,2
45.05s,Not Attentive,happy,-13,2,4
45.15s,Not Attentive,happy,-13,3,4
45.26s,Attentive,happy,-11,3,6
45.36s,Not Attentive,happy,-8,4,12
45.47s,Not Attentive,happy,-11,4,12
45.58s,Not Attentive,happy,-9,5,14
45.68s,Attentive,happy,-11,3,15
45.80s,Attentive,happy,-5,7,17
45.90s,Attentive,neutral,-6,8,17
46.01s,Attentive,happy,-5,8,18
46.11s,Attentive,happy,-8,8,19
46.22s,Attentive,happy,-11,8,19
46.33s,Attentive,happy,-12,7,20
46.43s,Attentive,happy,-15,8,20
46.54s,Attentive,happy,-9,6,20
46.65s,Attentive,happy,-12,6,21
46.77s,Attentive,happy,-9,6,20
46.92s,Attentive,happy,-9,7,21
47.03s,Attentive,happy,-6,5,21
47.13s,Attentive,happy,-5,4,22
47.24s,Attentive,happy,-6,4,21
47.35s,Attentive,happy,-6,3,21
47.45s,Not Attentive,happy,-7,3,21
47.56s,Attentive,happy,-7,3,22
47.67s,Not Attentive,happy,-7,4,22
47.77s,Not Attentive,happy,-6,4,22
47.88s,Attentive,happy,-5,1,21
47.99s,Not Attentive,happy,-9,5,22
48.10s,Attentive,happy,-6,6,22
48.20s,Not Attentive,happy,-7,2,22
48.31s,Not Attentive,happy,-8,6,22
48.42s,Not Attentive,happy,-8,6,22
48.53s,Not Attentive,happy,-4,2,21
48.63s,Not Attentive,happy,-6,3,21
48.74s,Attentive,happy,-8,2,22
48.85s,Not Attentive,happy,-6,0,21
48.95s,Not Attentive,happy,-6,2,22
49.06s,Attentive,happy,-7,3,21
49.16s,Not Attentive,happy,-7,3,21
49.27s,Not Attentive,happy,-9,5,21
49.37s,Attentive,happy,-6,4,20
49.49s,Not Attentive,happy,-10,7,19
49.59s,Not Attentive,happy,-2,7,20
49.70s,Attentive,happy,-4,9,20
49.81s,Not Attentive,happy,-6,9,19
49.92s,Not Attentive,happy,-8,9,19
50.03s,Not Attentive,happy,-4,7,20
50.13s,Attentive,happy,-6,8,19
50.24s,Attentive,happy,-6,8,19
50.34s,Attentive,happy,-8,10,17
50.45s,Attentive,happy,-14,12,16
50.55s,Attentive,happy,-14,12,14
50.66s,Not Attentive,sad,-16,11,12
50.77s,Attentive,sad,-19,11,11
50.87s,Attentive,happy,-12,13,9
50.98s,Attentive,happy,-20,14,5
51.10s,Attentive,happy,-9,15,8
51.20s,Attentive,sad,-16,14,5
51.31s,Attentive,sad,-20,13,4
51.42s,Attentive,neutral,-19,14,3
51.52s,Attentive,sad,-16,15,5
51.62s,Attentive,sad,-11,17,6
51.73s,Attentive,sad,-8,19,6
51.84s,Attentive,neutral,-8,20,5
51.94s,Attentive,neutral,-7,19,5
52.05s,Attentive,sad,0,16,5
52.16s,Attentive,neutral,-3,16,5
52.26s,Attentive,sad,-5,15,4
52.37s,Attentive,neutral,-2,14,4
52.48s,Attentive,sad,-4,13,4
52.58s,Attentive,neutral,-5,12,3
52.69s,Attentive,sad,-5,8,3
52.80s,Attentive,neutral,-2,7,3
52.91s,Attentive,neutral,-3,7,3
53.01s,Attentive,neutral,-3,6,4
53.11s,Attentive,neutral,-6,5,3
53.22s,Attentive,neutral,-3,6,4
53.33s,Attentive,neutral,-3,6,5
53.43s,Attentive,neutral,-2,6,6
53.54s,Attentive,neutral,-7,4,5
53.65s,Attentive,neutral,-3,4,6
53.75s,Attentive,neutral,-5,2,6
53.86s,Attentive,neutral,-4,4,6
53.97s,Attentive,neutral,-5,3,6
54.07s,Attentive,neutral,-7,2,6
54.18s,Attentive,neutral,-3,4,6
54.28s,Attentive,neutral,-4,2,6
54.42s,Attentive,neutral,-8,2,5
54.56s,Attentive,neutral,-3,2,5
54.69s,Attentive,neutral,-6,1,6
55.00s,Attentive,neutral,-2,2,6
55.11s,Not Attentive,neutral,-9,1,5
55.22s,Attentive,happy,-6,0,7
55.32s,Attentive,sad,-4,3,5
55.43s,Attentive,neutral,-4,4,5
55.53s,Attentive,sad,-4,3,6
55.64s,Attentive,neutral,-7,1,5
55.75s,Attentive,neutral,-4,2,6
55.85s,Attentive,neutral,-3,2,6
55.96s,Attentive,neutral,-5,1,6
56.07s,Attentive,sad,-5,3,7
56.17s,Attentive,neutral,-6,2,6
56.28s,Attentive,neutral,-5,2,7
56.38s,Attentive,happy,-4,0,6
56.49s,Attentive,neutral,-2,1,7
56.60s,Attentive,neutral,-5,1,6
56.70s,Attentive,neutral,-5,0,6
56.82s,Attentive,neutral,-4,1,6
56.92s,Attentive,neutral,-4,0,6
57.03s,Attentive,sad,-2,0,6
57.14s,Attentive,sad,-2,4,6
57.24s,Attentive,sad,-2,5,6
57.34s,Attentive,sad,-4,4,6
57.45s,Attentive,sad,0,4,6
57.56s,Attentive,sad,-5,3,6
57.66s,Attentive,sad,-4,5,6
57.77s,Attentive,sad,0,5,7
57.88s,Attentive,sad,0,4,6
57.98s,Attentive,sad,-2,6,7
58.09s,Attentive,sad,-3,4,6
58.20s,Attentive,sad,-3,3,7
58.30s,Attentive,neutral,-3,4,7
58.41s,Attentive,sad,-2,4,6
58.51s,Attentive,sad,-3,3,7
58.62s,Attentive,neutral,-1,3,7
58.73s,Attentive,neutral,0,4,7
58.83s,Attentive,sad,0,3,6
58.94s,Attentive,sad,-3,3,6
59.05s,Attentive,sad,-1,4,6
59.15s,Attentive,sad,-4,5,6
59.26s,Attentive,sad,-1,4,7
59.37s,Attentive,sad,-1,4,7
59.47s,Attentive,neutral,0,5,7
59.58s,Attentive,sad,-3,4,7
