Time,State,Emotion,Yaw,Pitch,Roll
90.66s,Not Attentive,happy,-20,-6,14
90.71s,Not Attentive,happy,-20,-6,14
90.76s,Not Attentive,happy,-20,-6,14
90.81s,Not Attentive,happy,-20,-6,14
90.86s,Not Attentive,happy,-20,-6,14
90.96s,Not Attentive,happy,-20,-6,14
91.01s,Not Attentive,happy,-20,-6,14
91.06s,Not Attentive,happy,-20,-6,14
91.11s,Not Attentive,happy,-20,-6,14
91.16s,Not Attentive,happy,-20,-6,14
91.21s,Not Attentive,happy,-20,-6,14
91.25s,Not Attentive,happy,-20,-6,14
91.30s,Not Attentive,happy,-20,-6,14
91.35s,Not Attentive,happy,-20,-6,14
91.40s,Not Attentive,happy,-20,-6,14
91.49s,Not Attentive,happy,-20,-6,14
91.55s,Not Attentive,happy,-20,-6,14
91.62s,Not Attentive,happy,-20,-6,14
91.69s,Not Attentive,happy,-20,-6,14
91.75s,Not Attentive,happy,-20,-6,14
91.81s,Not Attentive,happy,-20,-6,14
91.87s,Not Attentive,happy,-20,-6,14
91.92s,Not Attentive,happy,-20,-6,14
91.97s,Not Attentive,happy,-20,-6,14
92.02s,Not Attentive,happy,-20,-6,14
92.06s,Not Attentive,happy,-20,-6,14
92.12s,Not Attentive,happy,-20,-6,14
92.17s,Not Attentive,happy,-20,-6,14
92.24s,Not Attentive,happy,-20,-6,14
92.29s,Not Attentive,happy,-20,-6,14
92.34s,Not Attentive,happy,-20,-6,14
92.39s,Not Attentive,happy,-20,-6,14
92.44s,Not Attentive,happy,-20,-6,14
92.48s,Not Attentive,happy,-20,-6,14
92.53s,Not Attentive,happy,-20,-6,14
92.58s,Not Attentive,happy,-20,-6,14
92.63s,Not Attentive,happy,-20,-6,14
92.68s,Not Attentive,happy,-20,-6,14
92.73s,Not Attentive,happy,-20,-6,14
92.78s,Not Attentive,happy,-20,-6,14
92.84s,Not Attentive,happy,-20,-6,14
92.89s,Not Attentive,happy,-20,-6,14
92.98s,Not Attentive,happy,-20,-6,14
93.02s,Not Attentive,happy,-20,-6,14
93.08s,Not Attentive,happy,-20,-6,14
93.18s,Attentive,happy,-20,-6,14
93.29s,Not Attentive,happy,-18,-7,15
93.33s,Not Attentive,happy,-18,-7,15
93.44s,Attentive,happy,-18,-7,15
93.49s,Attentive,happy,-18,-7,15
93.59s,Not Attentive,happy,-17,-5,14
93.70s,Attentive,happy,-19,-6,14
93.74s,Attentive,happy,-19,-6,14
93.85s,Attentive,happy,-19,-8,15
93.96s,Not Attentive,happy,-18,-8,14
94.06s,Attentive,happy,-19,-7,15
94.16s,Attentive,happy,-19,-8,14
94.27s,Attentive,happy,-17,-9,15
94.37s,Not Attentive,happy,-16,-10,15
94.48s,Not Attentive,happy,-17,-7,14
94.58s,Not Attentive,happy,-18,-2,12
94.63s,Not Attentive,happy,-18,-2,12
94.68s,Not Attentive,happy,-18,-2,12
94.72s,Not Attentive,happy,-18,-2,12
94.77s,Not Attentive,happy,-18,-2,12
94.82s,Not Attentive,happy,-18,-2,12
94.87s,Not Attentive,happy,-18,-2,12
94.92s,Not Attentive,happy,-18,-2,12
94.98s,Not Attentive,happy,-18,-2,12
95.10s,Not Attentive,happy,-18,-2,12
95.15s,Not Attentive,happy,-18,-2,12
95.19s,Not Attentive,happy,-18,-2,12
95.24s,Not Attentive,happy,-18,-2,12
95.29s,Not Attentive,happy,-18,-2,12
95.38s,Not Attentive,happy,-18,-2,12
95.45s,Not Attentive,happy,-18,-2,12
95.50s,Not Attentive,happy,-18,-2,12
95.55s,Not Attentive,happy,-18,-2,12
95.60s,Not Attentive,happy,-18,-2,12
95.65s,Not Attentive,happy,-18,-2,12
95.75s,Not Attentive,happy,-18,-2,12
95.80s,Not Attentive,happy,-18,-2,12
95.85s,Not Attentive,happy,-18,-2,12
95.90s,Not Attentive,happy,-18,-2,12
95.95s,Not Attentive,happy,-18,-2,12
96.01s,Not Attentive,happy,-18,-2,12
96.06s,Not Attentive,happy,-18,-2,12
96.11s,Not Attentive,happy,-18,-2,12
96.16s,Not Attentive,happy,-18,-2,12
96.21s,Not Attentive,happy,-18,-2,12
96.26s,Not Attentive,happy,-18,-2,12
96.30s,Not Attentive,happy,-18,-2,12
96.36s,Not Attentive,happy,-18,-2,12
96.41s,Not Attentive,happy,-18,-2,12
96.45s,Not Attentive,happy,-18,-2,12
96.50s,Not Attentive,happy,-18,-2,12
96.55s,Not Attentive,happy,-18,-2,12
96.60s,Not Attentive,happy,-18,-2,12
96.69s,Not Attentive,happy,-18,-2,12
96.74s,Not Attentive,happy,-18,-2,12
96.79s,Not Attentive,happy,-18,-2,12
96.84s,Not Attentive,happy,-18,-2,12
96.90s,Not Attentive,happy,-18,-2,12
96.95s,Not Attentive,happy,-18,-2,12
97.00s,Not Attentive,happy,-18,-2,12
97.05s,Not Attentive,happy,-18,-2,12
97.10s,Not Attentive,happy,-18,-2,12
97.14s,Not Attentive,happy,-18,-2,12
97.21s,Not Attentive,happy,-18,-2,12
97.26s,Not Attentive,happy,-18,-2,12
97.32s,Not Attentive,happy,-18,-2,12
97.41s,Not Attentive,happy,-18,-2,12
97.46s,Not Attentive,happy,-18,-2,12
97.51s,Not Attentive,happy,-18,-2,12
97.66s,Not Attentive,neutral,-19,-7,10
97.79s,Attentive,neutral,-7,-2,6
97.90s,Attentive,neutral,-6,-1,4
98.00s,Attentive,neutral,-6,-2,4
98.11s,Attentive,neutral,-5,-3,2
98.23s,Attentive,neutral,-5,-4,1
98.34s,Attentive,neutral,-5,-3,0
98.49s,Attentive,neutral,-6,-3,0
98.62s,Attentive,neutral,-7,-4,0
98.76s,Attentive,happy,-7,-6,1
98.89s,Attentive,happy,-6,-5,0
99.00s,Attentive,happy,-6,-4,1
99.12s,Attentive,happy,-5,-1,1
99.23s,Attentive,neutral,-6,-1,1
99.34s,Attentive,neutral,-7,0,1
99.44s,Attentive,neutral,-10,-1,1
99.55s,Attentive,angry,-8,-2,2
99.67s,Attentive,neutral,-10,-2,2
99.77s,Attentive,neutral,-6,-1,1
99.88s,Attentive,neutral,-8,-1,1
99.99s,Attentive,neutral,-7,-3,2
100.09s,Attentive,neutral,-10,-3,2
100.20s,Attentive,neutral,-7,-2,2
100.30s,Attentive,neutral,-8,-2,2
100.41s,Attentive,neutral,-8,-1,2
100.51s,Attentive,neutral,-8,-1,2
100.62s,Attentive,happy,-8,-3,2
100.72s,Attentive,happy,-8,-6,2
100.83s,Attentive,happy,-8,-8,2
100.93s,Not Attentive,happy,-10,-6,2
101.04s,Not Attentive,happy,-10,-8,3
101.14s,Not Attentive,happy,-9,-6,2
101.25s,Not Attentive,happy,-8,-9,3
101.35s,Not Attentive,happy,-9,-8,3
101.46s,Not Attentive,happy,-9,-8,3
101.59s,Not Attentive,happy,-9,-8,2
101.72s,Not Attentive,happy,-8,-8,2
101.86s,Not Attentive,happy,-8,-7,2
101.99s,Not Attentive,happy,-10,-8,2
102.12s,Not Attentive,happy,-9,-7,2
102.26s,Not Attentive,happy,-8,-7,3
102.40s,Not Attentive,happy,-8,-7,3
102.51s,Not Attentive,happy,-9,-7,4
102.63s,Attentive,happy,-9,-8,4
102.75s,Attentive,happy,-9,-8,4
102.87s,Attentive,happy,-8,-7,4
102.98s,Not Attentive,happy,-9,-8,4
103.08s,Attentive,happy,-9,-7,4
103.18s,Not Attentive,happy,-9,-7,3
103.29s,Attentive,happy,-8,-7,4
103.39s,Not Attentive,happy,-8,-8,4
103.50s,Not Attentive,happy,-7,-7,4
103.60s,Not Attentive,happy,-10,-7,3
103.71s,Not Attentive,happy,-7,-6,4
103.83s,Not Attentive,happy,-8,0,3
103.94s,Attentive,happy,-8,8,3
104.04s,Attentive,sad,-8,11,4
104.15s,Attentive,sad,-9,11,5
104.25s,Attentive,sad,-5,11,5
104.30s,Attentive,sad,-5,11,5
104.40s,Attentive,neutral,-3,8,9
104.51s,Attentive,neutral,-13,8,7
104.62s,Attentive,neutral,-5,10,8
104.72s,Attentive,neutral,-6,9,7
104.83s,Attentive,sad,-6,11,9
104.94s,Attentive,sad,-2,9,11
105.05s,Attentive,sad,-5,10,11
105.15s,Attentive,sad,-4,11,10
105.26s,Attentive,neutral,-4,11,10
105.37s,Attentive,neutral,-2,12,10
105.42s,Attentive,neutral,-2,12,10
105.58s,Attentive,neutral,-1,12,11
105.68s,Attentive,sad,-7,9,9
105.79s,Attentive,sad,-6,9,9
105.90s,Attentive,sad,-6,8,9
106.00s,Attentive,neutral,-5,9,9
106.11s,Attentive,sad,-4,10,10
106.21s,Attentive,neutral,-1,12,10
106.32s,Attentive,neutral,-2,11,11
106.42s,Attentive,neutral,-1,11,10
106.55s,Attentive,neutral,-2,12,10
106.66s,Attentive,neutral,-3,10,10
106.77s,Attentive,sad,-1,11,11
106.87s,Not Attentive,sad,-2,11,11
107.21s,Attentive,sad,-2,12,10
107.32s,Attentive,neutral,-1,11,11
107.46s,Attentive,neutral,-2,11,11
107.56s,Attentive,neutral,-1,12,10
107.67s,Attentive,neutral,0,10,11
107.77s,Attentive,neutral,-1,11,11
107.88s,Attentive,neutral,-2,10,12
107.98s,Attentive,neutral,-3,9,12
108.09s,Attentive,happy,-6,0,11
108.19s,Attentive,neutral,-7,0,10
108.30s,Attentive,neutral,-4,4,14
108.40s,Attentive,sad,-4,0,12
108.51s,Attentive,sad,-5,0,12
108.67s,Attentive,sad,-6,0,11
108.78s,Attentive,neutral,-2,0,12
108.88s,Attentive,sad,-5,1,11
108.99s,Attentive,neutral,-4,2,11
109.10s,Attentive,neutral,-4,2,12
109.20s,Attentive,neutral,-4,3,11
109.25s,Attentive,neutral,-4,3,11
109.30s,Attentive,neutral,-4,3,11
109.35s,Attentive,neutral,-4,3,11
109.40s,Attentive,neutral,-4,3,11
109.45s,Attentive,neutral,-4,3,11
109.50s,Attentive,neutral,-4,3,11
109.54s,Attentive,neutral,-4,3,11
109.59s,Attentive,neutral,-4,3,11
109.64s,Attentive,neutral,-4,3,11
109.72s,Attentive,neutral,-4,3,11
109.77s,Attentive,neutral,-4,3,11
109.82s,Attentive,neutral,-4,3,11
109.87s,Attentive,neutral,-4,3,11
109.91s,Attentive,neutral,-4,3,11
109.96s,Attentive,neutral,-4,3,11
110.01s,Attentive,neutral,-4,3,11
110.06s,Attentive,neutral,-4,3,11
110.13s,Attentive,neutral,-4,3,11
110.18s,Attentive,neutral,-4,3,11
110.26s,Attentive,neutral,-4,3,11
110.31s,Attentive,neutral,-4,3,11
110.36s,Attentive,neutral,-4,3,11
110.40s,Attentive,neutral,-4,3,11
110.45s,Attentive,neutral,-4,3,11
110.50s,Attentive,neutral,-4,3,11
110.61s,Attentive,neutral,-6,4,11
110.65s,Attentive,neutral,-6,4,11
110.70s,Attentive,neutral,-6,4,11
110.75s,Attentive,neutral,-6,4,11
110.80s,Attentive,neutral,-6,4,11
110.85s,Attentive,neutral,-6,4,11
110.90s,Attentive,neutral,-6,4,11
110.95s,Attentive,neutral,-6,4,11
111.06s,Attentive,neutral,-6,3,11
111.11s,Attentive,neutral,-6,3,11
111.21s,Attentive,neutral,-8,2,10
111.31s,Attentive,sad,-6,6,8
111.42s,Attentive,neutral,-6,3,10
111.53s,Attentive,sad,-6,0,7
111.63s,Attentive,sad,-5,-1,6
111.73s,Attentive,sad,-7,-1,5
111.84s,Attentive,sad,-8,-1,5
111.94s,Attentive,sad,-7,-2,3
112.05s,Attentive,sad,-2,0,4
112.15s,Attentive,sad,-14,-2,4
112.31s,Attentive,angry,15,15,3
112.36s,Attentive,angry,15,15,3
112.50s,Not Attentive,happy,-28,-3,0
112.61s,Attentive,neutral,-24,-2,0
112.72s,Attentive,angry,-23,-2,1
112.83s,Not Attentive,neutral,6,18,-1
112.93s,Attentive,neutral,-17,-1,2
113.04s,Attentive,neutral,-16,-1,3
113.15s,Attentive,neutral,-14,-2,4
113.26s,Attentive,neutral,-14,0,4
113.37s,Attentive,neutral,-17,-3,4
113.48s,Attentive,neutral,-17,-2,5
113.62s,Attentive,neutral,-17,-3,5
113.75s,Attentive,neutral,-16,-4,6
113.86s,Attentive,neutral,-5,-2,7
113.99s,Attentive,neutral,-4,-3,7
114.12s,Attentive,neutral,-1,0,8
114.22s,Attentive,neutral,9,0,8
114.33s,Attentive,neutral,-3,9,-2
114.43s,Attentive,neutral,-1,10,-2
114.54s,Attentive,neutral,-1,9,-1
114.64s,Attentive,happy,0,11,-1
114.75s,Attentive,happy,0,10,-1
114.88s,Attentive,happy,0,10,-1
114.99s,Attentive,neutral,1,10,-1
115.10s,Attentive,happy,0,11,0
115.20s,Attentive,happy,1,9,0
115.31s,Attentive,happy,0,9,-1
115.42s,Attentive,neutral,0,9,-1
115.52s,Attentive,neutral,-1,8,-1
115.63s,Attentive,happy,0,10,-1
115.73s,Attentive,happy,0,9,-1
115.84s,Attentive,neutral,0,9,-1
115.94s,Attentive,happy,0,9,-1
116.05s,Attentive,neutral,0,9,-1
116.15s,Attentive,happy,0,8,-1
116.26s,Attentive,happy,-1,9,-1
116.37s,Attentive,neutral,-6,-9,9
116.48s,Attentive,neutral,-4,-8,9
116.59s,Not Attentive,neutral,-35,-15,15
116.70s,Not Attentive,happy,-34,-12,15
116.82s,Not Attentive,happy,-42,-15,17
116.93s,Not Attentive,happy,-42,-15,18
117.09s,Not Attentive,happy,-36,-14,16
117.25s,Not Attentive,happy,-40,-17,17
117.41s,Not Attentive,happy,-38,-17,15
117.57s,Not Attentive,neutral,-31,-16,14
117.73s,Not Attentive,happy,-27,-14,15
117.84s,Not Attentive,happy,-26,-14,16
117.95s,Not Attentive,happy,-26,-13,16
118.06s,Not Attentive,happy,-18,-11,13
118.17s,Not Attentive,happy,-16,-9,13
118.27s,Attentive,happy,-20,-9,15
118.38s,Not Attentive,happy,-23,-11,16
118.49s,Not Attentive,happy,-22,-11,15
118.60s,Not Attentive,happy,-23,-11,15
118.71s,Not Attentive,happy,-25,-9,15
118.82s,Not Attentive,happy,-21,-7,11
118.93s,Not Attentive,happy,-23,-7,11
119.04s,Not Attentive,happy,-25,-9,12
119.15s,Not Attentive,happy,-23,-8,11
119.26s,Not Attentive,happy,-26,-10,11
119.36s,Not Attentive,happy,-24,-9,12
119.48s,Not Attentive,happy,-24,-9,11
119.62s,Attentive,happy,-25,-5,11
119.75s,Not Attentive,happy,-29,-3,11
119.86s,Not Attentive,happy,-31,-4,12
119.97s,Not Attentive,neutral,-29,-4,10
120.07s,Not Attentive,neutral,-33,-7,13
120.18s,Attentive,neutral,0,13,-2
120.29s,Attentive,neutral,-18,-8,12
120.39s,Attentive,neutral,0,13,-2
120.50s,Not Attentive,neutral,3,-11,14
120.61s,Attentive,neutral,2,16,-2
120.74s,Not Attentive,neutral,-45,-15,17
120.86s,Not Attentive,neutral,-52,-14,12
120.98s,Not Attentive,neutral,-54,-9,8
121.09s,Not Attentive,neutral,-55,-7,4
121.20s,Not Attentive,neutral,-56,-9,4
121.31s,Not Attentive,neutral,-56,-8,5
121.43s,Not Attentive,neutral,-56,-9,3
121.54s,Not Attentive,neutral,-58,-8,4
121.66s,Not Attentive,neutral,-58,-8,3
121.77s,Not Attentive,neutral,-57,-7,1
121.91s,Not Attentive,neutral,-56,-10,2
122.07s,Not Attentive,neutral,-59,-7,1
122.17s,Not Attentive,neutral,-61,-9,3
122.52s,Not Attentive,neutral,-60,-10,1
122.66s,Not Attentive,neutral,-58,-14,-2
122.80s,Not Attentive,neutral,-58,-12,-3
122.95s,Not Attentive,neutral,-58,-13,-1
123.07s,Not Attentive,neutral,-59,-13,-3
123.21s,Not Attentive,neutral,-60,-13,-1
123.33s,Not Attentive,neutral,-59,-12,-1
123.46s,Attentive,neutral,-19,-2,6
123.58s,Not Attentive,neutral,-59,-11,-3
123.72s,Not Attentive,neutral,-57,-7,-5
123.85s,Attentive,neutral,-4,10,-1
123.97s,Not Attentive,neutral,-56,-7,-3
124.12s,Not Attentive,neutral,-54,-8,-3
124.25s,Not Attentive,neutral,-55,-5,-4
124.38s,Not Attentive,neutral,-49,-6,-2
124.51s,Not Attentive,neutral,-52,-6,-1
124.66s,Attentive,neutral,-10,-3,0
124.79s,Attentive,neutral,-12,-3,0
124.92s,Attentive,neutral,4,-2,-2
125.05s,Attentive,neutral,6,-2,-2
125.17s,Attentive,neutral,5,-2,-3
125.31s,Attentive,neutral,8,-3,-4
125.44s,Attentive,neutral,4,-2,-2
125.56s,Attentive,neutral,6,-3,-1
125.69s,Attentive,neutral,5,-3,0
125.81s,Attentive,neutral,-2,0,3
125.95s,Attentive,neutral,10,-1,2
126.08s,Attentive,neutral,11,-5,1
126.21s,Attentive,neutral,1,-6,1
126.34s,Attentive,neutral,-11,-4,2
126.46s,Attentive,neutral,-2,-2,0
126.59s,Attentive,neutral,-7,-1,1
126.74s,Attentive,neutral,-1,-2,0
126.86s,Attentive,neutral,-1,-1,1
127.00s,Attentive,neutral,1,-1,0
127.16s,Attentive,neutral,0,-2,1
127.29s,Attentive,neutral,2,-6,1
127.41s,Not Attentive,neutral,-44,-9,6
127.52s,Attentive,neutral,-16,-1,2
127.66s,Attentive,neutral,-16,0,1
127.79s,Attentive,neutral,0,-2,0
127.93s,Attentive,neutral,-12,0,1
128.05s,Not Attentive,neutral,-40,-8,4
128.18s,Not Attentive,neutral,-47,-10,4
128.31s,Not Attentive,neutral,-46,-10,5
128.43s,Not Attentive,neutral,-44,-7,4
128.55s,Not Attentive,neutral,-43,-8,4
128.69s,Not Attentive,neutral,-35,-8,4
128.83s,Not Attentive,neutral,-41,-6,3
128.95s,Not Attentive,neutral,-41,-6,3
129.07s,Not Attentive,neutral,-44,-7,3
129.19s,Not Attentive,neutral,-43,-8,4
129.31s,Not Attentive,neutral,-44,-7,4
129.44s,Not Attentive,neutral,-42,-6,4
129.56s,Attentive,neutral,-1,6,-1
129.69s,Not Attentive,neutral,-34,-2,1
129.80s,Attentive,neutral,-8,-1,-1
129.91s,Attentive,neutral,-4,3,-2
130.01s,Attentive,neutral,-5,3,-2
130.12s,Attentive,neutral,-7,4,-2
130.24s,Attentive,neutral,-4,3,-2
130.34s,Attentive,neutral,-5,2,-1
130.50s,Attentive,neutral,-5,1,-1
130.68s,Attentive,neutral,-4,2,-2
130.79s,Attentive,neutral,-4,1,-1
130.89s,Attentive,neutral,-5,4,-1
131.00s,Attentive,neutral,-5,2,-1
131.10s,Attentive,neutral,-6,2,-2
131.21s,Attentive,neutral,-7,2,-2
131.31s,Attentive,sad,-6,4,-2
131.42s,Attentive,neutral,-7,5,-1
131.52s,Attentive,neutral,-6,6,-2
131.63s,Attentive,neutral,21,-2,4
131.76s,Attentive,neutral,10,-3,-2
131.89s,Attentive,neutral,-3,-2,-3
132.04s,Attentive,neutral,-13,1,-5
132.21s,Attentive,neutral,-6,9,-3
132.33s,Attentive,neutral,-5,9,-3
132.44s,Attentive,neutral,-4,8,-3
132.55s,Attentive,neutral,-4,8,-3
132.66s,Attentive,neutral,-5,-7,-9
132.76s,Not Attentive,neutral,-3,-3,-7
132.87s,Attentive,happy,12,-4,2
132.98s,Attentive,happy,-2,7,-2
133.08s,Not Attentive,happy,-4,7,-2
133.18s,Not Attentive,happy,-1,10,-3
133.29s,Attentive,happy,-2,11,-2
133.39s,Not Attentive,happy,0,13,-2
133.49s,Not Attentive,happy,0,13,-1
133.60s,Not Attentive,happy,1,16,0
133.70s,Not Attentive,happy,1,21,1
133.81s,Not Attentive,happy,4,23,4
133.91s,Not Attentive,happy,7,24,6
134.02s,Not Attentive,happy,7,21,7
134.12s,Not Attentive,happy,6,21,6
134.22s,Not Attentive,happy,2,22,5
134.33s,Attentive,happy,-1,23,3
134.47s,Not Attentive,happy,0,19,1
134.61s,Not Attentive,happy,-1,22,0
134.72s,Attentive,neutral,-2,19,0
134.83s,Not Attentive,neutral,-4,18,-1
134.93s,Not Attentive,neutral,-5,15,-1
135.03s,Not Attentive,neutral,-6,14,-2
135.14s,Attentive,neutral,-6,14,-2
135.24s,Attentive,neutral,-7,14,-3
135.35s,Attentive,neutral,-7,11,-1
135.46s,Attentive,neutral,-7,11,-1
135.57s,Attentive,neutral,-9,12,-2
135.67s,Attentive,neutral,-9,12,-3
135.77s,Attentive,neutral,-6,13,-2
135.88s,Attentive,neutral,-8,13,-2
135.98s,Attentive,neutral,-9,13,-3
136.09s,Attentive,neutral,-7,11,-3
136.19s,Attentive,neutral,-7,11,-3
136.31s,Attentive,neutral,-8,11,-3
136.41s,Attentive,neutral,-7,13,-3
136.52s,Attentive,neutral,-6,13,-3
136.62s,Attentive,neutral,-7,12,-3
136.73s,Attentive,happy,-8,13,-2
136.83s,Attentive,happy,-6,14,-2
136.94s,Attentive,neutral,-6,12,-2
137.04s,Attentive,happy,-7,12,-3
137.15s,Attentive,neutral,-7,13,-2
137.25s,Attentive,happy,-7,12,-2
137.36s,Attentive,neutral,-6,12,-2
137.49s,Attentive,neutral,-8,11,-3
137.60s,Attentive,happy,-5,13,-3
137.94s,Attentive,happy,-8,11,-3
138.13s,Attentive,happy,-7,12,-3
138.30s,Attentive,happy,-7,11,-2
138.43s,Attentive,happy,-7,10,-2
138.54s,Attentive,happy,-6,13,-2
138.64s,Attentive,neutral,-9,11,-2
138.74s,Attentive,neutral,-9,11,-2
138.85s,Attentive,neutral,-5,13,-2
138.98s,Attentive,neutral,-7,14,-3
139.08s,Attentive,neutral,-7,16,-2
139.19s,Attentive,neutral,-5,15,-1
139.29s,Attentive,neutral,-7,15,-2
139.40s,Attentive,neutral,-9,15,-2
139.50s,Attentive,neutral,-10,13,-2
139.62s,Attentive,neutral,-8,15,-2
139.72s,Attentive,neutral,-7,15,-2
139.85s,Attentive,neutral,-5,16,-1
139.95s,Attentive,neutral,-8,16,-1
140.05s,Attentive,neutral,-7,14,-2
140.16s,Attentive,neutral,-8,16,-2
140.26s,Attentive,neutral,-7,15,-2
140.37s,Attentive,neutral,-7,16,-2
140.47s,Attentive,neutral,-6,17,-2
140.61s,Attentive,neutral,-7,20,0
140.73s,Attentive,sad,-6,21,0
140.84s,Not Attentive,sad,-5,20,0
140.94s,Not Attentive,neutral,-5,20,0
141.04s,Not Attentive,neutral,-5,22,0
141.15s,Not Attentive,neutral,-7,23,0
141.26s,Not Attentive,neutral,-7,20,-1
141.36s,Not Attentive,sad,-4,20,0
141.47s,Not Attentive,sad,-6,21,0
141.57s,Not Attentive,neutral,-5,20,0
141.67s,Attentive,neutral,-5,21,0
141.78s,Not Attentive,neutral,-4,21,1
141.89s,Attentive,neutral,-5,21,0
141.99s,Attentive,neutral,-4,20,0
142.10s,Attentive,happy,-4,18,0
142.21s,Not Attentive,happy,-5,17,1
142.31s,Attentive,neutral,-3,16,3
142.42s,Attentive,sad,-1,15,4
142.52s,Attentive,neutral,-24,-2,12
142.58s,Not Attentive,neutral,-27,-2,15
142.68s,Attentive,happy,-24,-3,15
142.73s,Attentive,happy,-24,-3,15
142.90s,Attentive,neutral,-12,-1,14
143.06s,Not Attentive,neutral,15,17,8
143.22s,Attentive,neutral,17,17,8
143.38s,Not Attentive,sad,17,15,9
143.55s,Not Attentive,sad,17,17,9
143.71s,Not Attentive,sad,15,15,7
143.87s,Not Attentive,sad,8,11,5
143.97s,Attentive,neutral,-13,0,10
144.08s,Attentive,neutral,-14,0,9
144.19s,Attentive,neutral,-16,1,8
144.30s,Attentive,neutral,-17,3,8
144.40s,Not Attentive,neutral,-15,3,7
144.56s,Attentive,neutral,-14,4,7
144.75s,Attentive,neutral,-15,3,7
144.87s,Attentive,neutral,-16,2,7
144.98s,Attentive,neutral,-16,2,7
145.09s,Attentive,neutral,-14,3,7
145.19s,Attentive,neutral,-14,3,8
145.30s,Attentive,neutral,-14,3,7
145.40s,Attentive,neutral,-14,3,7
145.51s,Attentive,neutral,-15,2,8
145.61s,Attentive,neutral,-14,2,8
145.74s,Attentive,neutral,-15,2,7
145.85s,Attentive,neutral,-14,1,8
145.95s,Attentive,neutral,-15,1,8
146.07s,Attentive,neutral,-15,2,7
146.18s,Attentive,neutral,-16,0,8
146.31s,Attentive,neutral,-16,0,7
146.42s,Attentive,neutral,-18,-3,7
146.52s,Attentive,neutral,-17,-4,6
146.63s,Attentive,happy,-14,-5,5
146.73s,Attentive,neutral,-11,-5,4
146.85s,Not Attentive,happy,-9,0,0
146.95s,Attentive,neutral,0,3,0
147.06s,Not Attentive,neutral,1,6,-1
147.17s,Attentive,neutral,1,9,-1
147.27s,Not Attentive,neutral,0,9,0
147.38s,Attentive,neutral,0,12,0
147.49s,Not Attentive,neutral,0,11,0
147.59s,Not Attentive,neutral,-1,12,1
147.72s,Not Attentive,neutral,-8,12,1
147.83s,Not Attentive,neutral,-6,12,1
147.93s,Not Attentive,neutral,-5,13,2
148.04s,Not Attentive,neutral,-2,13,3
148.15s,Not Attentive,neutral,-4,14,3
148.25s,Not Attentive,sad,-2,10,2
148.36s,Attentive,sad,-2,9,2
148.46s,Attentive,neutral,-3,10,2
148.57s,Attentive,neutral,-1,11,2
148.67s,Attentive,neutral,-1,9,3
148.78s,Attentive,neutral,-3,10,2
148.88s,Attentive,sad,-1,10,3
148.99s,Attentive,neutral,-2,10,2
149.10s,Attentive,sad,-3,9,2
149.21s,Attentive,neutral,0,10,3
149.31s,Not Attentive,sad,-1,9,3
149.41s,Attentive,neutral,-1,10,3
149.52s,Not Attentive,neutral,-2,13,3
149.64s,Not Attentive,neutral,-2,9,3
149.75s,Attentive,neutral,-5,11,2
149.86s,Attentive,neutral,-3,11,3
149.96s,Attentive,neutral,-2,9,3
150.07s,Attentive,neutral,-2,10,3
150.17s,Attentive,neutral,1,10,3
150.28s,Attentive,neutral,-1,9,3
150.38s,Not Attentive,neutral,-1,9,3
150.49s,Attentive,neutral,-1,9,2
150.59s,Attentive,neutral,0,9,3
150.71s,Attentive,neutral,-2,9,2
150.82s,Attentive,neutral,-2,9,3
150.93s,Attentive,neutral,-4,11,3
151.04s,Not Attentive,neutral,-5,15,4
151.14s,Attentive,neutral,-3,9,3
151.24s,Attentive,neutral,-3,9,2
151.35s,Attentive,neutral,-1,11,3
151.46s,Attentive,neutral,-1,10,3
151.56s,Attentive,neutral,-2,9,3
151.67s,Attentive,neutral,-2,8,3
152.01s,Attentive,neutral,-2,10,3
152.15s,Attentive,neutral,-1,10,3
152.26s,Not Attentive,neutral,-3,12,3
152.36s,Not Attentive,neutral,-5,14,4
152.47s,Not Attentive,neutral,-8,14,3
152.60s,Attentive,sad,-2,9,3
152.72s,Not Attentive,neutral,-5,13,3
152.83s,Not Attentive,neutral,-6,14,2
152.93s,Attentive,sad,-1,9,3
153.04s,Attentive,neutral,-1,9,3
153.15s,Not Attentive,neutral,-4,13,3
153.25s,Attentive,neutral,0,9,3
153.35s,Attentive,neutral,-1,9,3
153.46s,Attentive,neutral,-1,8,3
153.56s,Attentive,neutral,0,10,3
153.66s,Not Attentive,neutral,-7,13,4
153.77s,Attentive,neutral,-3,11,3
153.88s,Attentive,neutral,-1,9,3
153.99s,Not Attentive,neutral,-7,13,4
154.10s,Attentive,neutral,-2,11,3
154.21s,Not Attentive,neutral,-4,9,3
154.36s,Not Attentive,neutral,-6,15,3
154.49s,Attentive,neutral,-1,9,3
154.59s,Not Attentive,neutral,-4,13,3
154.70s,Not Attentive,neutral,-4,13,3
154.80s,Not Attentive,neutral,-4,10,3
154.93s,Not Attentive,neutral,-1,4,4
155.06s,Attentive,happy,-5,2,4
155.18s,Attentive,happy,-12,-2,2
155.28s,Attentive,happy,-18,-6,1
155.39s,Attentive,happy,0,-8,2
155.49s,Not Attentive,happy,-5,-6,2
155.60s,Not Attentive,happy,-6,-9,0
155.70s,Not Attentive,happy,-6,-6,1
155.82s,Attentive,happy,-8,-6,1
155.92s,Attentive,happy,-18,-6,0
