Time,State,Emotion,Yaw,Pitch,Roll
16.67s,Attentive,neutral,6,25,3
16.73s,Attentive,neutral,6,25,3
16.75s,Attentive,neutral,6,25,3
16.84s,Attentive,neutral,6,25,3
16.87s,Attentive,neutral,6,25,3
16.97s,Not Attentive,neutral,2,-2,-2
17.04s,Not Attentive,neutral,2,-2,-2
17.07s,Not Attentive,neutral,2,-2,-2
17.12s,Not Attentive,neutral,2,-2,-2
17.16s,Not Attentive,neutral,2,-2,-2
17.24s,Not Attentive,neutral,2,-2,-2
17.27s,Not Attentive,neutral,2,-2,-2
17.34s,Not Attentive,neutral,2,-2,-2
17.37s,Not Attentive,neutral,2,-2,-2
17.43s,Not Attentive,neutral,2,-2,-2
17.46s,Not Attentive,neutral,2,-2,-2
17.56s,Attentive,happy,-3,7,-1
17.63s,Attentive,happy,-3,7,-1
17.70s,Attentive,angry,-11,5,-3
17.76s,Attentive,angry,-13,9,-5
17.83s,Attentive,angry,-13,9,-5
17.90s,Attentive,sad,-16,7,-7
17.96s,Attentive,sad,2,16,-4
18.08s,Attentive,neutral,-4,13,-4
18.15s,Attentive,neutral,-4,13,-4
18.22s,Attentive,happy,-13,10,-6
18.29s,Attentive,neutral,-12,8,-3
18.36s,Attentive,neutral,-11,9,-3
18.47s,Attentive,neutral,-6,7,-2
18.55s,Attentive,neutral,-6,7,-2
18.61s,Attentive,neutral,-12,9,-4
18.68s,Attentive,neutral,-6,10,-2
18.76s,Attentive,angry,-16,9,-5
18.84s,Attentive,angry,-16,9,-5
18.90s,Attentive,neutral,-16,10,-5
18.96s,Attentive,neutral,-20,9,-7
19.07s,Attentive,neutral,-19,9,-7
19.14s,Attentive,neutral,-19,9,-7
19.20s,Attentive,neutral,-22,11,-9
19.29s,Attentive,neutral,-21,9,-7
19.37s,Not Attentive,neutral,-20,11,-9
19.45s,Not Attentive,neutral,-20,11,-9
19.52s,Attentive,neutral,-18,8,-6
19.59s,Attentive,neutral,-20,7,-6
19.68s,Attentive,neutral,-18,8,-5
19.75s,Attentive,neutral,-18,8,-5
19.82s,Attentive,neutral,-19,8,-3
19.90s,Attentive,neutral,-20,10,-5
19.97s,Attentive,neutral,-22,10,-4
20.04s,Attentive,neutral,-22,10,-4
20.11s,Attentive,neutral,-17,10,-4
